id,score,grade,comment,constant,number_as_text,mostly_missing
1,62.6,A,note xxxx,same,10.73,
2,88.6,B,note xxxxxxxxxxxxxxxxxxxxxxxx,same,89.29,
3,37.5,A,note xxxxxxxxxxxxxx,same,38.95,
4,,B,note xxxxxxxx,same,69.47,
5,78.3,B,note xxxxxxxxxxxxxxxxxxxxxxxxxxxxx,same,70.88,
6,50.2,,note xxxxxxxxxxxxxx,same,43.97,
7,101.2,B,note xxxxxxx,same,73.51,
8,38.9,C,note xxxxxxxxxxxxxxxxxxx,same,46.66,
9,87.2,A,note xxxxxxxxxxxxxxxxxx,same,54.64,
10,88.7,B,note xxxxxxxxxx,same,31.37,
11,81.0,C,note xxxxxxxxxxxxxxxxxxxxxx,same,1.19,
12,67.3,A,note xxxx,same,59.74,
13,,,note xxxxxxxxxxxxxxxxxx,same,27.30,
14,,B,note xxxxxxxxxxxxxxxxxxxxxxxxx,same,28.24,
15,79.7,B,note xxxxxxxxxxxxxxxxxxxxxxx,same,88.00,
16,56.6,B,note xxxxx,same,36.82,
17,66.7,B,note xxxxxxxxxxxxxxxxxxxxxxxx,same,11.13,
18,82.0,B,note xxxxxxxxxxxxxxx,same,63.41,
19,56.6,B,note xxx,same,54.31,
20,65.6,C,note xxxxxxxxxxxxx,same,6.70,
21,,A,note xxxxxxxxx,same,35.54,4.300975073145741
22,53.9,A,note xxxxxxxxxxxxxxxxxxxxxxxxxxx,same,61.51,
23,84.0,B,note xxxxxxxxxxx,same,28.69,
24,74.1,A,note xxxxxxxxxxxxxxxxx,same,98.63,
25,51.8,B,note xxxxxxxxxxxxxxxxxxx,same,80.10,
26,69.4,B,note xxxxxxxxxxxxx,same,50.92,
27,60.7,C,note xxxx,same,91.64,
28,62.1,A,note xxxxxxxxxxxxxxxxxxxxxxxxxxxxx,same,4.44,
29,70.9,B,note xxxxxxxx,same,23.23,
30,61.5,C,note xxxxxxxxxxx,same,91.57,
31,81.6,B,note xxxxxxxxxxx,same,51.36,
32,61.5,C,note xxxxxxxxxxxxxxxxxxxxxx,same,17.85,
33,81.8,C,note xxx,same,57.44,
34,,A,note xxxxxxx,same,73.29,
35,80.3,B,note xxxxxxxxxxxxxxxxxxxxxxxxxxx,same,60.74,
36,,C,note xxxxxxxxxxxxxxxxxxxxxx,same,5.54,
37,63.9,B,note xxxxxxxxxxxxxxxxx,same,4.64,
38,56.2,B,note xxxxxxxxxxxxxxxxxxxxxx,same,41.30,
39,76.9,,note xxxxxxxxxx,same,2.61,
40,81.3,B,note xxxxxxxxxxxxxxxxxxxxxxxxx,same,9.32,
41,,B,note xxxxxxxxxxxxxxxxxxxxxxxx,same,64.61,
42,85.5,C,note xxxxxxxxxxxxxxx,same,44.41,
43,73.0,B,note xxxxxxxxxxxxxxxxxxxxx,same,9.47,
44,67.5,A,note xxxxxxx,same,87.77,
45,74.7,A,note xxxxxxxx,same,37.48,
46,69.7,B,note xxxxxxxxxxxxxxxxxxx,same,88.43,
47,87.6,,note xx,same,61.31,
48,,B,note xxxxxxxxxxxxxxxxxxxxxxxxxxx,same,62.48,
49,60.0,A,note xxxxxxxxxxxxxxxxxxxxxxx,same,42.98,
50,61.7,,note xxxxxxxxx,same,67.53,
51,86.4,B,note xxxxxxxx,same,25.11,
52,73.7,A,note x,same,26.49,
53,67.2,B,note xxxxxxxxxxx,same,87.62,5.919625913811113
54,84.2,B,note xxxxxx,same,21.17,
55,65.3,A,note xxxxxxxxxxxxxxxxxxxxxxxxxx,same,39.22,
56,66.6,C,note xxxxxxxxxxxxxxxxxxxxxxxxxxxx,same,74.73,
57,64.5,B,note xxxxxxx,same,33.67,
58,46.5,,note x,same,37.23,5.765766005399797
59,80.4,A,note xxxxxxx,same,91.01,
60,55.5,,note xx,same,21.44,
