date,region,units,revenue
2025-01-01,North,120,1315.1
2025-01-02,North,123,1338.63
2025-01-03,North,119,1125.9
2025-01-04,North,115,1258.08
2025-01-05,North,119,1120.46
2025-01-06,North,115,1151.49
2025-01-07,North,124,1239.35
2025-01-08,North,135,1462.04
2025-01-09,North,121,1098.81
2025-01-10,North,121,1165.31
2025-01-11,North,130,1325.99
2025-01-12,North,130,1187.26
2025-01-13,North,128,1212.56
2025-01-14,North,120,1191.62
2025-01-15,North,128,1377.5
2025-01-16,North,135,1420.46
2025-01-17,North,119,1268.3
2025-01-18,North,126,1325.79
2025-01-19,North,115,1197.78
2025-01-20,North,121,1294.63
2025-01-21,North,117,1212.47
2025-01-22,North,130,1361.28
2025-01-23,North,123,1181.2
2025-01-24,North,135,1260.26
2025-01-25,North,135,1419.26
2025-01-26,North,133,1241.11
2025-01-27,North,114,1235.64
2025-01-28,North,131,1335.32
2025-01-29,North,135,1303.95
2025-01-30,North,137,1489.64
2025-01-31,North,124,1154.47
2025-02-01,North,133,1333.85
2025-02-02,North,129,1184.62
2025-02-03,North,131,1431.94
2025-02-04,North,146,1482.01
2025-02-05,North,131,1389.56
2025-02-06,North,138,1319.81
2025-02-07,North,145,1537.52
2025-02-08,North,134,1394.36
2025-02-09,North,138,1419.66
2025-02-10,North,140,1526.16
2025-02-11,North,140,1381.38
2025-02-12,North,130,1277.92
2025-02-13,North,140,1453.79
2025-02-14,North,151,1611.19
2025-02-15,North,128,1237.78
2025-02-16,North,147,1519.88
2025-02-17,North,141,1327.95
2025-02-18,North,135,1363.96
2025-02-19,North,156,1643.98
2025-02-20,North,146,1333.07
2025-02-21,North,131,1369.69
2025-02-22,North,141,1273.35
2025-02-23,North,145,1582.92
2025-02-24,North,139,1381.29
2025-02-25,North,146,1433.45
2025-02-26,North,140,1461.72
2025-02-27,North,145,1456.76
2025-02-28,North,152,1590.18
2025-03-01,North,135,1237.88
2025-03-02,North,141,1427.71
2025-03-03,North,136,1375.81
2025-03-04,North,141,1531.86
2025-03-05,North,130,1180.3
2025-03-06,North,134,1327.36
2025-03-07,North,137,1405.91
2025-03-08,North,146,1474.82
2025-03-09,North,148,1353.95
2025-03-10,North,128,1303.87
2025-03-11,North,132,1246.66
2025-03-12,North,143,1342.93
2025-03-13,North,121,1301.64
2025-03-14,North,133,1249.63
2025-03-15,North,136,1347.57
2025-03-16,North,147,1543.58
2025-03-17,North,142,1478.88
2025-03-18,North,133,1344.22
2025-03-19,North,133,1411.67
2025-03-20,North,133,1320.91
2025-03-21,North,147,1505.39
2025-03-22,North,131,1393.56
2025-03-23,North,132,1367.02
2025-03-24,North,137,1408.86
2025-03-25,North,132,1295.22
2025-03-26,North,131,1325.28
2025-03-27,North,124,1214.23
2025-03-28,North,132,1384.49
2025-03-29,North,128,1249.39
2025-03-30,North,141,1400.59
2025-03-31,North,136,1429.48
2025-04-01,North,130,1300.95
2025-04-02,North,135,1306.27
2025-04-03,North,127,1353.01
2025-04-04,North,138,1347.15
2025-04-05,North,129,1378.94
2025-04-06,North,133,1405.87
2025-04-07,North,118,1167.56
2025-04-08,North,130,1355.35
2025-04-09,North,114,1033.84
2025-04-10,North,111,1085.54
2025-04-11,North,124,1329.36
2025-04-12,North,119,1208.93
2025-04-13,North,127,1284.69
2025-04-14,North,143,1477.12
2025-04-15,North,118,1221.93
2025-04-16,North,120,1220.06
2025-04-17,North,126,1240.0
2025-04-18,North,128,1198.97
2025-04-19,North,122,1169.4
2025-04-20,North,122,1169.47
2025-04-21,North,129,1272.13
2025-04-22,North,127,1396.76
2025-04-23,North,114,1106.38
2025-04-24,North,122,1207.16
2025-04-25,North,122,1188.68
2025-04-26,North,113,1148.4
2025-04-27,North,124,1351.08
2025-04-28,North,114,1228.71
2025-04-29,North,129,1258.3
2025-04-30,North,122,1163.12
2025-05-01,North,121,1303.02
2025-05-02,North,116,1158.57
2025-05-03,North,119,1234.16
2025-05-04,North,104,951.24
2025-05-05,North,111,1191.38
2025-05-06,North,123,1183.99
2025-05-07,North,103,1028.87
2025-05-08,North,127,1193.3
2025-05-09,North,106,1043.09
2025-05-10,North,126,1342.67
2025-05-11,North,113,1204.03
2025-05-12,North,126,1253.37
2025-05-13,North,121,1274.83
2025-05-14,North,107,1061.03
2025-05-15,North,130,1267.07
2025-05-16,North,131,1322.02
2025-05-17,North,119,1118.92
2025-05-18,North,118,1136.71
2025-05-19,North,119,1239.15
2025-05-20,North,113,1191.14
2025-05-21,North,129,1175.63
2025-05-22,North,116,1214.02
2025-05-23,North,120,1276.18
2025-05-24,North,115,1137.39
2025-05-25,North,116,1058.49
2025-05-26,North,111,1150.61
2025-05-27,North,132,1252.99
2025-05-28,North,121,1244.69
2025-05-29,North,130,1267.92
2025-05-30,North,123,1263.74
2025-05-31,North,117,1113.4
2025-06-01,North,121,1204.32
2025-06-02,North,119,1195.87
2025-06-03,North,124,1272.49
2025-06-04,North,121,1138.17
2025-06-05,North,122,1332.74
2025-06-06,North,114,1091.92
2025-06-07,North,119,1143.83
2025-06-08,North,139,1322.25
2025-06-09,North,121,1105.33
2025-06-10,North,119,1171.66
2025-06-11,North,130,1370.68
2025-06-12,North,139,1448.26
2025-06-13,North,117,1098.76
2025-06-14,North,127,1177.78
2025-06-15,North,125,1205.36
2025-06-16,North,116,1222.24
2025-06-17,North,137,1366.73
2025-06-18,North,131,1420.87
2025-06-19,North,132,1361.29
2025-06-20,North,126,1290.47
2025-06-21,North,137,1443.35
2025-06-22,North,129,1354.57
2025-06-23,North,133,1288.46
2025-06-24,North,126,1198.77
2025-06-25,North,126,1244.28
2025-06-26,North,147,1466.84
2025-06-27,North,133,1234.7
2025-06-28,North,140,1383.57
2025-06-29,North,138,1418.59
2025-06-30,North,135,1251.64
2025-07-01,North,135,1252.27
2025-07-02,North,145,1355.38
2025-07-03,North,138,1320.2
2025-07-04,North,140,1529.28
2025-07-05,North,142,1285.32
2025-07-06,North,152,1423.86
2025-07-07,North,148,1380.85
2025-07-08,North,147,1462.46
2025-07-09,North,140,1264.22
2025-07-10,North,134,1328.79
2025-07-11,North,153,1426.85
2025-07-12,North,154,1469.05
2025-07-13,North,145,1534.81
2025-07-14,North,151,1414.59
2025-07-15,North,154,1576.08
2025-07-16,North,155,1520.96
2025-07-17,North,156,1534.29
2025-07-18,North,146,1552.52
2025-07-19,North,162,1510.14
2025-07-20,North,141,1529.51
2025-07-21,North,158,1704.34
2025-07-22,North,155,1602.18
2025-07-23,North,159,1446.72
2025-07-24,North,168,1734.87
2025-07-25,North,165,1683.11
2025-07-26,North,144,1518.4
2025-07-27,North,140,1319.87
2025-07-28,North,161,1755.98
2025-07-29,North,147,1583.54
2025-07-30,North,155,1430.45
2025-07-31,North,162,1560.13
2025-08-01,North,143,1296.28
2025-08-02,North,140,1492.67
2025-08-03,North,159,1722.0
2025-08-04,North,157,1723.8
2025-08-05,North,155,1584.7
2025-08-06,North,158,1632.45
2025-08-07,North,151,1563.88
2025-08-08,North,146,1480.48
2025-08-09,North,157,1712.06
2025-08-10,North,151,1542.57
2025-08-11,North,146,1412.03
2025-08-12,North,163,1634.2
2025-08-13,North,159,1436.93
2025-08-14,North,163,1703.07
2025-08-15,North,152,1578.95
2025-08-16,North,155,1525.53
2025-08-17,North,152,1626.85
2025-08-18,North,153,1608.19
2025-08-19,North,162,1567.09
2025-08-20,North,154,1409.87
2025-08-21,North,163,1510.1
2025-08-22,North,163,1527.07
2025-08-23,North,177,1700.59
2025-08-24,North,149,1474.36
2025-08-25,North,167,1812.95
2025-08-26,North,160,1529.09
2025-08-27,North,160,1727.55
2025-08-28,North,149,1543.78
2025-08-29,North,156,1670.29
2025-08-30,North,166,1627.88
2025-08-31,North,159,1432.04
2025-09-01,North,160,1691.83
2025-09-02,North,157,1490.08
2025-09-03,North,169,1569.16
2025-09-04,North,159,1685.24
2025-09-05,North,141,1462.54
2025-09-06,North,153,1442.0
2025-09-07,North,143,1363.53
2025-09-08,North,132,1435.95
2025-09-09,North,154,1468.71
2025-09-10,North,169,1758.41
2025-09-11,North,158,1462.94
2025-09-12,North,148,1573.25
2025-09-13,North,150,1385.28
2025-09-14,North,166,1665.33
2025-09-15,North,158,1433.13
2025-09-16,North,156,1575.62
2025-09-17,North,155,1657.45
2025-09-18,North,156,1430.33
2025-09-19,North,161,1537.31
2025-09-20,North,159,1674.17
2025-09-21,North,156,1593.73
2025-09-22,North,146,1405.34
2025-09-23,North,158,1620.73
2025-09-24,North,148,1466.59
2025-09-25,North,162,1737.4
2025-09-26,North,142,1361.19
2025-09-27,North,151,1587.83
2025-09-28,North,152,1561.24
2025-09-29,North,141,1477.8
2025-09-30,North,165,1609.83
2025-10-01,North,162,1692.87
2025-10-02,North,146,1517.94
2025-10-03,North,156,1524.9
2025-10-04,North,152,1376.04
2025-10-05,North,128,1398.51
2025-10-06,North,150,1564.08
2025-10-07,North,147,1383.19
2025-10-08,North,148,1548.32
2025-10-09,North,139,1328.47
2025-10-10,North,145,1441.09
2025-10-11,North,145,1554.37
2025-10-12,North,156,1543.8
2025-10-13,North,148,1417.25
2025-10-14,North,145,1393.59
2025-10-15,North,157,1437.18
2025-10-16,North,140,1321.46
2025-10-17,North,141,1345.45
2025-10-18,North,129,1205.63
2025-10-19,North,156,1423.68
2025-10-20,North,151,1499.67
2025-10-21,North,150,1414.32
2025-10-22,North,148,1550.68
2025-10-23,North,143,1550.84
2025-10-24,North,144,1374.62
2025-10-25,North,140,1420.23
2025-10-26,North,140,1401.88
2025-10-27,North,142,1299.33
2025-10-28,North,153,1415.21
2025-10-29,North,145,1561.59
2025-10-30,North,140,1392.76
2025-10-31,North,136,1442.85
2025-11-01,North,135,1232.98
2025-11-02,North,153,1559.01
2025-11-03,North,144,1545.21
2025-11-04,North,141,1513.51
2025-11-05,North,137,1234.57
2025-11-06,North,131,1315.69
2025-11-07,North,139,1353.58
2025-11-08,North,147,1546.45
2025-11-09,North,137,1253.06
2025-11-10,North,138,1315.12
2025-11-11,North,138,1466.29
2025-11-12,North,141,1401.41
2025-11-13,North,127,1258.1
2025-11-14,North,138,1509.32
