candidate_id,age,gender,degree,seniority,experience_years,current_salary,city,skills_count
1,34,Female,Bachelor,Mid,6.4,103607.0,Chicago,7
2,29,Female,Master,Senior,11.5,85481.0,Seattle,3
3,28,Male,Master,Mid,5.1,75209.0,Seattle,4
4,28,Male,Master,Senior,6.5,122830.0,Boston,1
5,35,Male,Bachelor,Senior,10.2,102889.0,Denver,1
6,22,Non-binary,Bachelor,Mid,4.2,78377.0,Chicago,7
7,36,Male,PhD,Entry,2.3,58507.0,Austin,5
8,35,Female,Bachelor,Senior,7.8,92991.0,Austin,4
9,22,Male,Master,Senior,9.5,95695.0,Denver,5
10,52,Male,Bachelor,Entry,2.8,51096.0,Austin,6
11,26,Male,Master,Mid,9.9,89394.0,San Francisco,6
12,26,Male,Bachelor,Senior,9.9,113221.0,Denver,5
13,37,Male,Bachelor,Mid,6.1,101944.0,Remote,3
14,37,Male,Bachelor,Entry,0.9,62225.0,Los Angeles,6
15,35,Male,Master,Mid,5.2,103450.0,New York,4
16,38,Female,Bachelor,Mid,5.8,73994.0,Chicago,5
17,32,Female,Bachelor,Junior,6.5,56571.0,Chicago,6
18,27,Male,Bachelor,Junior,3.1,50267.0,Atlanta,3
19,40,Male,High School,Entry,3.5,46480.0,Denver,5
20,39,Male,Bachelor,Mid,1.0,81800.0,Denver,6
21,36,Female,Bachelor,Senior,8.6,103530.0,Austin,5
22,31,Male,High School,Executive,11.6,190172.0,Seattle,2
23,22,Female,Bachelor,Entry,0.0,55737.0,Chicago,9
24,40,Male,Bachelor,Junior,0.0,79639.0,Atlanta,6
25,32,Male,Master,Senior,9.0,92816.0,New York,5
26,40,Male,Master,Junior,1.5,57387.0,Seattle,4
27,26,Male,PhD,Senior,13.0,104102.0,Los Angeles,6
28,32,Female,Master,Entry,0.0,47834.0,San Francisco,10
29,39,Female,PhD,Entry,2.1,46681.0,Boston,5
30,46,Male,Master,Entry,2.8,30000.0,Austin,1
31,33,Female,Associate,Senior,9.0,86050.0,Atlanta,6
32,34,Female,Bachelor,Mid,7.1,83185.0,Boston,5
33,32,Male,Bachelor,Junior,5.1,73711.0,New York,1
34,28,Female,Master,Mid,6.8,70457.0,Austin,2
35,22,Male,Master,Mid,1.2,100342.0,Remote,2
36,41,Male,Bachelor,Entry,3.0,64487.0,San Francisco,6
37,35,Female,Master,Executive,11.5,128511.0,Denver,5
38,34,Female,Master,Executive,13.9,126311.0,Chicago,3
39,34,Male,PhD,Entry,0.5,43515.0,Seattle,5
40,28,Female,Bachelor,Mid,7.1,92132.0,San Francisco,8
41,29,Female,Bachelor,Junior,2.5,79728.0,Atlanta,6
42,43,Male,Bachelor,Senior,7.2,126841.0,Austin,4
43,22,Male,High School,Junior,1.9,77506.0,Denver,5
44,32,Female,Bachelor,Mid,5.2,79448.0,San Francisco,6
45,22,Male,PhD,Entry,2.4,58396.0,Denver,5
46,28,Male,Bachelor,Junior,3.2,59304.0,Los Angeles,4
47,34,Male,Bachelor,Mid,3.0,62041.0,San Francisco,10
48,35,Male,Associate,Entry,0.0,58495.0,Atlanta,6
49,31,Female,Bachelor,Executive,16.5,145561.0,New York,4
50,29,Male,Master,Mid,8.9,89447.0,Denver,3
51,47,Female,Master,Senior,9.0,86991.0,Los Angeles,6
52,31,Female,Bachelor,Mid,6.2,76123.0,Boston,3
53,37,Male,Bachelor,Entry,1.0,38589.0,San Francisco,4
54,28,Male,Associate,Mid,5.0,71343.0,Boston,5
55,27,Male,Bachelor,Junior,5.9,68742.0,Seattle,6
56,22,Male,Master,Entry,2.2,55708.0,Seattle,6
57,37,Male,Bachelor,Senior,9.4,106759.0,Seattle,10
58,22,Female,High School,Entry,2.0,51199.0,Seattle,3
