event_id,candidate_id,job_id,event_type,event_date,rating
1,2708,389,application,2025-01-01,1.0
2,167,287,application,2025-01-01,
3,2063,124,hire,2025-01-01,5.0
4,2652,435,application,2025-01-01,4.0
5,3789,382,application,2025-01-01,3.0
6,796,159,reject,2025-01-01,1.0
7,2488,386,screen,2025-01-01,2.0
8,1268,159,interview,2025-01-01,4.0
9,2273,4,offer,2025-01-01,3.0
10,2254,97,hire,2025-01-01,
11,4735,264,screen,2025-01-01,4.0
12,3605,239,application,2025-01-01,2.0
13,964,455,application,2025-01-01,3.0
14,1307,194,screen,2025-01-01,4.0
15,4342,230,screen,2025-01-01,3.0
16,1525,374,application,2025-01-01,3.0
17,3692,379,interview,2025-01-01,
18,3015,77,screen,2025-01-01,5.0
19,4223,180,interview,2025-01-01,2.0
20,1545,375,application,2025-01-01,
21,4940,39,reject,2025-01-01,
22,3422,480,application,2025-01-01,3.0
23,4427,377,offer,2025-01-01,5.0
24,3138,103,interview,2025-01-01,
25,3600,406,application,2025-01-01,
26,589,152,interview,2025-01-01,4.0
27,4714,99,application,2025-01-01,2.0
28,3391,77,application,2025-01-01,
29,1599,52,application,2025-01-01,3.0
30,4118,310,offer,2025-01-01,3.0
31,2372,268,offer,2025-01-01,5.0
32,4656,419,application,2025-01-01,
33,4677,407,offer,2025-01-01,3.0
34,1485,408,reject,2025-01-01,1.0
35,3000,325,hire,2025-01-01,3.0
36,3552,498,application,2025-01-01,
37,2228,49,hire,2025-01-01,
38,2994,405,screen,2025-01-01,1.0
39,1442,140,reject,2025-01-01,3.0
40,2136,408,application,2025-01-01,5.0
41,3750,239,interview,2025-01-01,
42,4858,148,screen,2025-01-01,4.0
43,4764,306,application,2025-01-01,2.0
44,4704,324,application,2025-01-01,2.0
45,4610,418,application,2025-01-01,3.0
46,3647,500,interview,2025-01-01,
47,220,117,application,2025-01-01,
48,2402,352,reject,2025-01-01,
49,3514,421,screen,2025-01-01,3.0
50,2879,263,application,2025-01-01,
51,415,426,application,2025-01-01,3.0
52,859,25,application,2025-01-01,
53,187,82,application,2025-01-01,2.0
54,3216,389,reject,2025-01-01,
55,3252,449,screen,2025-01-01,4.0
56,3402,234,screen,2025-01-01,
57,178,82,application,2025-01-01,2.0
58,369,296,application,2025-01-01,3.0
59,1180,191,reject,2025-01-01,
60,1615,354,interview,2025-01-01,
61,2137,339,application,2025-01-01,3.0
62,42,216,screen,2025-01-01,4.0
63,933,373,reject,2025-01-01,3.0
64,2082,179,application,2025-01-01,
